id,score
yassinelanezo,10
yassinelanezo,10
yassinelanezo,10
yassinelanezo,9
yassine,9
sinay,8
yassinelanezo,8
yassinelanezo,8
yassine,8
yassinelanezo,7
yassinelanezo,7
yassinelanezo,7
yassinelanezo,6
yassinelanezo,6
